ZIP,Territory_Name,Region_Name
49964,"Milwaukee, WI",West
49965,"Milwaukee, WI",West
49967,"Milwaukee, WI",West
49968,"Milwaukee, WI",West
49969,"Milwaukee, WI",West
49970,"Milwaukee, WI",West
49971,"Milwaukee, WI",West
53001,"Milwaukee, WI",West
53002,"Milwaukee, WI",West
53003,"Milwaukee, WI",West
53004,"Milwaukee, WI",West
53005,"Milwaukee, WI",West
53006,"Milwaukee, WI",West
53007,"Milwaukee, WI",West
53008,"Milwaukee, WI",West
53010,"Milwaukee, WI",West
53011,"Milwaukee, WI",West
53012,"Milwaukee, WI",West
53013,"Milwaukee, WI",West
53014,"Milwaukee, WI",West
53015,"Milwaukee, WI",West
53016,"Milwaukee, WI",West
53017,"Milwaukee, WI",West
53018,"Milwaukee, WI",West
53019,"Milwaukee, WI",West
53020,"Milwaukee, WI",West
53021,"Milwaukee, WI",West
53022,"Milwaukee, WI",West
53023,"Milwaukee, WI",West
53024,"Milwaukee, WI",West
53026,"Milwaukee, WI",West
53027,"Milwaukee, WI",West
53029,"Milwaukee, WI",West
53031,"Milwaukee, WI",West
53032,"Milwaukee, WI",West
53033,"Milwaukee, WI",West
53034,"Milwaukee, WI",West
53035,"Milwaukee, WI",West
53036,"Milwaukee, WI",West
53037,"Milwaukee, WI",West
53039,"Milwaukee, WI",West
53040,"Milwaukee, WI",West
53042,"Milwaukee, WI",West
53044,"Milwaukee, WI",West
53045,"Milwaukee, WI",West
53046,"Milwaukee, WI",West
53048,"Milwaukee, WI",West
53049,"Milwaukee, WI",West
53050,"Milwaukee, WI",West
53051,"Milwaukee, WI",West
53052,"Milwaukee, WI",West
53056,"Milwaukee, WI",West
53057,"Milwaukee, WI",West
53058,"Milwaukee, WI",West
53059,"Milwaukee, WI",West
53060,"Milwaukee, WI",West
53061,"Milwaukee, WI",West
53062,"Milwaukee, WI",West
53063,"Milwaukee, WI",West
53064,"Milwaukee, WI",West
53065,"Milwaukee, WI",West
53066,"Milwaukee, WI",West
53069,"Milwaukee, WI",West
53070,"Milwaukee, WI",West
53072,"Milwaukee, WI",West
53073,"Milwaukee, WI",West
53074,"Milwaukee, WI",West
53075,"Milwaukee, WI",West
53076,"Milwaukee, WI",West
53078,"Milwaukee, WI",West
53079,"Milwaukee, WI",West
53080,"Milwaukee, WI",West
53081,"Milwaukee, WI",West
53082,"Milwaukee, WI",West
53083,"Milwaukee, WI",West
53085,"Milwaukee, WI",West
53086,"Milwaukee, WI",West
53088,"Milwaukee, WI",West
53089,"Milwaukee, WI",West
53090,"Milwaukee, WI",West
53091,"Milwaukee, WI",West
